L4 endpiece,380.242,380.805
L4 endpiece,0,0.006
L1 endpiece,380.33,380.944
L1 endpiece,64.989,64.998
L1 endpiece DS,0.251,0.936
L1 endpiece DS,64.938,65.126
L4 endpiece DS,-0.02,0.659
L4 endpiece DS,-0.006,0.211
L4 DS B,13.199,13.813
L4 DS B,-0.766,-0.538
L4 DS T,13.09,13.771
L4 DS T,12.424,12.612
L3 DS B,13.598,14.299
L3 DS B,17.766,18.006
L3 DS T,13.554,14.184
L3 DS T,31.689,31.883
L2 DS B,13.542,14.175
L2 DS B,37.284,37.553
L2 DS T,13.488,14.102
L2 DS T,51.228,51.511
L1 DS B,13.447,14.155
L1 DS B,56.352,56.578
L1 DS T,13.494,14.093
L1 DS T,69.515,69.772
L1 US T,367.019,367.497
L1 US T,69.355,67.393
L1 US B,367.079,367.713
L1 US B,56.113,56.122
L2 US T,367.063,367.677
L2 US T,50.931,50.937
L2 US B,367.084,367.657
L2 US B,36.931,36.938
L3 US T,367.162,367.699
L3 US T,31.847,31.854
L3 US B,367.172,367.702
L3 US B,17.769,17.775
L4 US T,366.673,367.199
L4 US T,12.521,12.527
L1 US B,366.585,367.267
L1 US B,-0.819,-0.814
